trip_distance,tip_amount,fare_amount,total_amount,passenger_count,start_hour,start_day,start_weekday,start_month,trip_duration_minutes
0.0,1.0,12.0,13.3,1.0,7,1,Thursday,7,0.03333333333333333
2.8,2.45,11.5,14.75,1.0,7,1,Thursday,7,12.3
1.58,1.96,9.0,11.76,1.0,7,1,Thursday,7,11.916666666666666
0.0,0.0,20.2,21.0,1.0,7,1,Thursday,7,38.016666666666666
2.52,0.0,10.5,11.3,1.0,7,1,Thursday,7,11.066666666666666
22.65,0.0,64.5,71.85,1.0,7,1,Thursday,7,56.31666666666667
3.36,3.61,14.5,21.66,6.0,7,1,Thursday,7,17.933333333333334
1.53,0.0,9.0,9.8,1.0,7,1,Thursday,7,10.566666666666666
1.68,1.66,7.5,9.96,1.0,7,1,Thursday,7,6.65
6.92,7.14,25.0,35.69,1.0,7,1,Thursday,7,25.533333333333335
1.29,1.56,7.0,9.36,2.0,7,1,Thursday,7,7.733333333333333
1.36,0.0,7.0,7.8,2.0,7,1,Thursday,7,7.233333333333333
1.32,1.02,6.0,7.82,1.0,7,1,Thursday,7,5.516666666666667
1.33,2.0,5.5,8.3,1.0,7,1,Thursday,7,3.1333333333333333
2.2,3.76,11.5,18.81,1.0,7,1,Thursday,7,13.9
1.33,1.66,7.5,9.96,1.0,7,1,Thursday,7,8.4
1.57,0.0,7.0,7.8,1.0,7,1,Thursday,7,6.166666666666667
1.6,1.65,7.5,9.95,1.0,7,1,Thursday,7,7.316666666666666
1.27,0.0,7.5,8.3,1.0,7,1,Thursday,7,8.333333333333334
3.74,0.0,14.0,17.55,1.0,7,1,Thursday,7,13.8
2.22,3.76,9.0,16.31,1.0,7,1,Thursday,7,10.15
1.29,0.0,5.5,6.3,1.0,7,1,Thursday,7,3.466666666666667
0.86,0.0,6.0,6.8,1.0,7,1,Thursday,7,5.433333333333334
1.7,0.0,9.0,9.8,1.0,7,1,Thursday,7,9.983333333333333
1.0,0.0,4.5,5.3,1.0,7,1,Thursday,7,2.3833333333333333
1.6,2.34,7.0,10.14,1.0,7,1,Thursday,7,5.883333333333334
2.27,2.61,9.5,15.66,1.0,7,1,Thursday,7,10.35
1.8,2.0,7.0,9.8,1.0,7,1,Thursday,7,5.15
3.9,0.0,14.0,17.55,1.0,7,1,Thursday,7,13.55
0.0,0.0,13.2,14.0,1.0,7,1,Thursday,7,17.766666666666666
12.41,0.0,60.0,60.8,1.0,7,1,Thursday,7,80.85
1.8,1.5,8.0,10.3,1.0,7,1,Thursday,7,8.216666666666667
1.34,0.0,6.0,6.8,1.0,7,1,Thursday,7,4.416666666666667
1.01,0.0,6.5,7.3,1.0,7,1,Thursday,7,6.983333333333333
14.11,0.0,58.0,58.8,1.0,7,1,Thursday,7,35.95
4.06,6.02,16.5,26.07,1.0,7,1,Thursday,7,18.95
0.94,0.0,6.0,6.8,1.0,7,1,Thursday,7,5.416666666666667
3.89,2.0,14.0,16.8,1.0,7,1,Thursday,7,11.9
4.8,0.0,17.0,20.55,1.0,7,1,Thursday,7,19.4
0.91,1.36,6.0,8.16,1.0,8,1,Thursday,7,6.433333333333334
1.17,0.0,6.0,6.8,1.0,8,1,Thursday,7,6.133333333333334
2.36,0.0,11.0,11.8,1.0,8,1,Thursday,7,13.2
5.93,3.0,17.5,21.3,5.0,8,1,Thursday,7,9.766666666666667
4.73,0.0,20.5,24.05,1.0,8,1,Thursday,7,29.0
